Amharic,English,Occurrences,Example Location,Context,All Locations
የጥያቄ ቁጥር ወይም የነዋሪ ስም,Search by request # or resident name…,1,src/components/credentials/CredentialQueueTable.tsx:321,string literal,src/components/credentials/CredentialQueueTable.tsx:321
የፍርድ ቤት ማጣቀሻ ያስፈልጋል,Decree reference required,1,src/routes/woreda.civil.divorce.new.tsx:49,string literal,src/routes/woreda.civil.divorce.new.tsx:49
የፍትሐ ብሔር ምዝገባ,Civil Registration,1,src/routes/woreda.civil.index.tsx:405,titleAm/titleEn prop pair,src/routes/woreda.civil.index.tsx:405
የፍትሐ ብሔር ክስተት,Civil Event,1,src/routes/woreda.civil.$eventId.tsx:523,titleAm/titleEn prop pair,src/routes/woreda.civil.$eventId.tsx:523
የፍቺ ምዝገባ ተልኳል,Divorce submitted,1,src/routes/woreda.civil.divorce.new.tsx:178,toast: success,src/routes/woreda.civil.divorce.new.tsx:178
የፍቺ ቀን,Divorce Date,1,src/routes/woreda.civil.divorce.new.tsx:273,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:273
የፍቺ ዝርዝር,Divorce Details,1,src/routes/woreda.civil.divorce.new.tsx:260,titleAm/titleEn prop pair,src/routes/woreda.civil.divorce.new.tsx:260
የፖሊስ ሪፖርት,Police Report,1,src/routes/woreda.credentials.$requestId.index.tsx:325,string literal,src/routes/woreda.credentials.$requestId.index.tsx:325
ያልተመደበ,Unassigned,1,src/hooks/useReportsAggregate.ts:268,string literal,src/hooks/useReportsAggregate.ts:268
ያልተከፈለ,Due (Uncollected),1,src/hooks/useReportsAggregate.ts:539,string literal,src/hooks/useReportsAggregate.ts:539
ያልታወቀ,Unknown,1,src/hooks/useReportsAggregate.ts:98,string literal,src/hooks/useReportsAggregate.ts:98
ያረጋገጠው,Certified by,1,src/routes/woreda.civil.$eventId.tsx:649,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:649
ያረጋገጠው,Certified by (physician / official),1,src/routes/woreda.civil.death.new.tsx:260,labelAm/labelEn prop pair,src/routes/woreda.civil.death.new.tsx:260
ያከናወነው,Officiant,1,src/routes/woreda.civil.$eventId.tsx:678,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:678
ያከናወነው,Officiant (religious/civil),1,src/routes/woreda.civil.marriage.new.tsx:269,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:269
ይህ QR ኮድ በዚህ ወረዳ አስተዳደር የተሰጠ ትክክለኛ ደረሰኝ አይመለከትም።,This QR code does not match any receipt issued by the woreda administration.,1,src/routes/verify.receipt.$token.tsx:115,string literal,src/routes/verify.receipt.$token.tsx:115
ይህ QR ኮድ በዚህ ወረዳ አስተዳደር የተሰጠ ትክክለኛ ደብዳቤ አይመለከትም።,This QR code does not match any letter issued by the woreda administration.,1,src/routes/verify.letter.$token.tsx:101,string literal,src/routes/verify.letter.$token.tsx:101
ይህ ሞጁል ለዚህ ወረዳ አልነቃም,This module is not enabled for this woreda.,1,src/components/common/ModuleGate.tsx:34,toast: error,src/components/common/ModuleGate.tsx:34
ይህ ንጥል አልተገኘም ወይም ፈቃድ የለዎትም — ገጹን አድስ አድርገው ይሞክሩ,"This item could no longer be found, or you may no longer have permission — refresh and try again.",1,src/routes/woreda.settings.woreda-configuration.tsx:151,string literal,src/routes/woreda.settings.woreda-configuration.tsx:151
ይህ ኢሜይል ቀድሞ ተመዝግቧል,This email is already registered,1,src/lib/errorMessages.ts:73,string literal,src/lib/errorMessages.ts:73
ይህ የመታወቂያ ቁጥር ቀደም ሲል ተመዝግቧል,This ID number is already registered,1,src/routes/woreda.residents.new.tsx:117,toast: error,src/routes/woreda.residents.new.tsx:117
ይህ የመታወቂያ ቁጥር ቀደም ሲል ተመዝግቧል (${data[0].resident_number}),Already registered in this woreda,1,src/components/forms/ResidentWizardSteps.tsx:173,string literal,src/components/forms/ResidentWizardSteps.tsx:173
ይህ የቤት ቁጥር በዚህ ቀበሌ ውስጥ ተመዝግቧል,House number already exists in this kebele,1,src/routes/woreda.rental-houses.new.tsx:71,string literal,src/routes/woreda.rental-houses.new.tsx:71
ይህ የአገልግሎት ዓይነት ስራ ላይ ነው — በምትኩ ያቦዝኑት,This service type is in use — deactivate it instead,1,src/routes/woreda.settings.woreda-configuration.tsx:834,string literal,src/routes/woreda.settings.woreda-configuration.tsx:834
ይህን ለማድረግ ፈቃድ የሎትም,You don,1,src/lib/errorMessages.ts:35,string literal,src/lib/errorMessages.ts:35
ይህን ለውጥ ለምን ያደርጋሉ?,Why are you making this change?,1,src/routes/woreda.households.index.tsx:665,placeholder,src/routes/woreda.households.index.tsx:665
ይህን ሚና በዚህ መንገድ መስጠት አይቻልም — ከወረዳ አስተዳዳሪዎ ይጠይቁ,This role can,1,src/lib/errorMessages.ts:43,string literal,src/lib/errorMessages.ts:43
ይምረጡ,Select,1,src/routes/woreda.civil.$eventId.tsx:1307,placeholder,src/routes/woreda.civil.$eventId.tsx:1307
ይግለፁ,Please specify,1,src/lib/householdSchema.ts:53,string literal,src/lib/householdSchema.ts:53
ደረሰኝ,Receipt,1,src/routes/woreda.revenue.$paymentId.receipt.tsx:354,titleAm/titleEn prop pair,src/routes/woreda.revenue.$paymentId.receipt.tsx:354
ደረሰኝ,Receipt No.,1,src/routes/woreda.revenue.index.tsx:216,string literal,src/routes/woreda.revenue.index.tsx:216
ደረሰኝ ሊፈጠር አልቻለም,The payment was recorded but no receipt was created,1,src/routes/woreda.services.$requestId.index.tsx:1224,string literal,src/routes/woreda.services.$requestId.index.tsx:1224
ደረሰኝ ቁጥር,Receipt no.,1,src/routes/verify.receipt.$token.tsx:129,labelAm/labelEn prop pair,src/routes/verify.receipt.$token.tsx:129
ደረሰኝ ቁጥር,Receipt or reference no…,1,src/routes/woreda.revenue.index.tsx:364,placeholder,src/routes/woreda.revenue.index.tsx:364
ደረጃ,Status,1,src/components/services/ServiceRequestList.tsx:251,string literal,src/components/services/ServiceRequestList.tsx:251
ደረጃው ተቀይሯል,${serviceStatusLabel(next)},1,src/routes/woreda.services.$requestId.index.tsx:240,toast: success,src/routes/woreda.services.$requestId.index.tsx:240
ደጋፊ ሰነድ,Supporting Document,1,src/routes/woreda.credentials.$requestId.index.tsx:323,string literal,src/routes/woreda.credentials.$requestId.index.tsx:323
ገቢ,Revenue,1,src/routes/woreda.revenue.index.tsx:312,titleAm/titleEn prop pair,src/routes/woreda.revenue.index.tsx:312
ገቢ በመክፈያ መንገድ (ETB),Revenue by channel,1,src/routes/woreda.reports.index.tsx:415,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:415
ገቢ በዓይነት (ETB),Revenue by payment type,1,src/routes/woreda.reports.index.tsx:408,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:408
ጉዳዩን ያስገቡ,Enter a subject,1,src/routes/woreda.services.new.tsx:171,string literal,src/routes/woreda.services.new.tsx:171
ጉዳይ,Subject of the letter,1,src/routes/verify.letter.$token.tsx:121,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:121
ጊዜ,Period,1,src/components/residents/ResidentProfileTabs.tsx:168,labelAm/labelEn prop pair,src/components/residents/ResidentProfileTabs.tsx:168
ጊዜ,Period: ${rangeLabel}  (${start} → ${end}),1,src/routes/woreda.reports.index.tsx:128,string literal,src/routes/woreda.reports.index.tsx:128
ጊዜ ወደፊት መሆን አይችልም,Cannot be in the future,1,src/lib/residentSchema.ts:83,string literal,src/lib/residentSchema.ts:83
ግብዣ ተልኳል,Invitation resent,1,src/components/admin/PlatformUsersTab.tsx:311,toast: success,src/components/admin/PlatformUsersTab.tsx:311
ጠቅላላ ነዋሪዎች,Total Residents,1,src/routes/woreda.dashboard.tsx:239,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:239
ጠቅላላ ነዋሪዎች,Total residents,1,src/routes/woreda.reports.index.tsx:288,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:288
ጥሬ ገንዘብ,Cash,1,src/hooks/useReportsAggregate.ts:50,string literal,src/hooks/useReportsAggregate.ts:50
ጥያቄ ቁጥር,Request #,1,src/routes/woreda.rental-houses.requests.index.tsx:177,string literal,src/routes/woreda.rental-houses.requests.index.tsx:177
ጥያቄ ተመዝግቧል,Request submitted,1,src/routes/woreda.rental-houses.$houseId.index.tsx:513,toast: success,src/routes/woreda.rental-houses.$houseId.index.tsx:513
ጥያቄው ሊያዝ አልቻለም,Could not claim this request — it may have been moved by someone else,1,src/routes/woreda.credentials.$requestId.index.tsx:586,string literal,src/routes/woreda.credentials.$requestId.index.tsx:586
ጥያቄው በማጽደቅ ደረጃ ተመልሷል,Request returned at approval stage,1,src/routes/woreda.credentials.$requestId.index.tsx:660,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:660
ጥያቄው ተመልሷል,Request returned,1,src/routes/woreda.credentials.$requestId.index.tsx:499,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:499
ጥያቄው ተመዝግቧል,Submitted — ${created.request_number},1,src/routes/woreda.services.new.tsx:271,toast: success,src/routes/woreda.services.new.tsx:271
ጥያቄው ተረጋግጦ ወደ ማጽደቅ ተልኳል,Request verified and sent for approval,1,src/routes/woreda.credentials.$requestId.index.tsx:447,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:447
ጥያቄው አልተገኘም,The request no longer exists or is no longer visible to you,1,src/lib/offlineSync.ts:200,string literal,src/lib/offlineSync.ts:200
ጥያቄው አልተገኘም,Request not found,1,src/routes/woreda.credentials.$requestId.print.tsx:795,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:795
ጥያቄው እንደገና ለክለሳ ተልኳል,Resubmitted for review,1,src/routes/woreda.credentials.$requestId.index.tsx:545,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:545
ጥያቄው ከዚህ በኋላ ለክፍያ ዝግጁ አይደለም (ሁኔታ: ${req.status}),The request is no longer ready for payment (status: ${req.status}),1,src/lib/offlineSync.ts:231,string literal,src/lib/offlineSync.ts:231
ጥያቄው ውድቅ ተደርጓል,Request rejected,1,src/routes/woreda.credentials.$requestId.index.tsx:704,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:704
ጥያቄው ገብቷል,Request submitted,1,src/routes/woreda.credentials.new.tsx:575,toast: success,src/routes/woreda.credentials.new.tsx:575
ጥያቄው ጸድቋል፤ ወደ ክፍያ ተልኳል,"Request approved, sent for payment",1,src/routes/woreda.credentials.$requestId.index.tsx:618,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:618
ጸድቆ በሚጠበቅ,Pending approval,1,src/lib/serviceConstants.ts:11,string literal,src/lib/serviceConstants.ts:11
ጽህፈት ቤት አድራሻ,Office Address,1,src/routes/woreda.settings.woreda-configuration.tsx:378,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:378
ፀድቋል,Approved — payment collection is next,1,src/routes/woreda.civil.$eventId.tsx:426,toast: success,src/routes/woreda.civil.$eventId.tsx:426
ፆታ,Gender,1,src/components/forms/ResidentWizardSteps.tsx:405,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:405
ፆታ ይምረጡ,Select gender,1,src/lib/residentSchema.ts:23,string literal,src/lib/residentSchema.ts:23
ፆታ ይምረጡ,Select sex,1,src/routes/woreda.civil.birth.new.tsx:42,string literal,src/routes/woreda.civil.birth.new.tsx:42
ፈርሷል,Demolished,1,src/routes/woreda.households.index.tsx:326,string literal,src/routes/woreda.households.index.tsx:326
ፋይል ከ10MB መብለጥ የለበትም,File must be under 10MB,1,src/components/residents/ResidentProfileTabs.tsx:799,toast: error,src/components/residents/ResidentProfileTabs.tsx:799
ፎቶ,Photo,1,src/routes/woreda.credentials.$requestId.index.tsx:322,string literal,src/routes/woreda.credentials.$requestId.index.tsx:322
ፎቶ መጫን አልተሳካም,Upload failed: ${(e as Error).message},1,src/components/forms/ResidentWizardSteps.tsx:227,toast: error,src/components/forms/ResidentWizardSteps.tsx:227
ፎቶ መጫን አልተሳካም,Photo upload failed: ${(e as Error).message},1,src/routes/woreda.credentials.new.tsx:393,toast: error,src/routes/woreda.credentials.new.tsx:393
ፎቶ ከ5MB መብለጥ የለበትም,Photo must be under 5MB,1,src/components/forms/ResidentWizardSteps.tsx:210,toast: error,src/components/forms/ResidentWizardSteps.tsx:210
ፎቶ ያስፈልጋል,Photo required,1,src/lib/residentSchema.ts:32,string literal,src/lib/residentSchema.ts:32
ፎቶ ይጫኑ,Upload a photo before submitting,1,src/routes/woreda.credentials.new.tsx:423,string literal,src/routes/woreda.credentials.new.tsx:423
ፖሳቁ,PO Box,1,src/components/forms/HouseholdFormFields.tsx:295,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:295
